date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:36:56	57509/57509	---M-Z	200	added ('OK')	text/html	date:Mon,%2028%20Dec%202020%2006:36:55%20GMT	https://nephos.cssninja.io/home.html	D:/kuliah/farm-template/nephos.cssninja.io/home.html	(from )
13:36:57	196/196	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2028%20Dec%202020%2006:36:56%20GMT	https://nephos.cssninja.io/robots.txt		(from )
13:36:57	459/459	---M--	200	added ('OK')	image/png	date:Fri,%2017%20Jul%202020%2022:46:55%20GMT	https://nephos.cssninja.io/assets/img/favicon.png	D:/kuliah/farm-template/nephos.cssninja.io/assets/img/favicon.png	(from https://nephos.cssninja.io/home.html)
13:36:58	193228/193228	---M-Z	200	added ('OK')	text/css	date:Fri,%2017%20Jul%202020%2022:46:49%20GMT	https://nephos.cssninja.io/assets/css/app.css	D:/kuliah/farm-template/nephos.cssninja.io/assets/css/app.css	(from https://nephos.cssninja.io/home.html)
13:36:58	351587/351587	---M-Z	200	added ('OK')	text/css	date:Fri,%2017%20Jul%202020%2022:46:49%20GMT	https://nephos.cssninja.io/assets/css/bulma.css	D:/kuliah/farm-template/nephos.cssninja.io/assets/css/bulma.css	(from https://nephos.cssninja.io/home.html)
13:36:58	351849/351849	---M-Z	200	added ('OK')	text/css	date:Tue,%2015%20Sep%202020%2011:52:34%20GMT	https://nephos.cssninja.io/assets/css/main.css	D:/kuliah/farm-template/nephos.cssninja.io/assets/css/main.css	(from https://nephos.cssninja.io/home.html)
13:36:58	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%221544639720%22	https://stackpath.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	D:/kuliah/farm-template/stackpath.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	(from https://nephos.cssninja.io/home.html)
13:36:59	929/929	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2017%20Jul%202020%2022:47:07%20GMT	https://nephos.cssninja.io/assets/img/logo/nephos.svg	D:/kuliah/farm-template/nephos.cssninja.io/assets/img/logo/nephos.svg	(from https://nephos.cssninja.io/home.html)
13:36:59	71829/71829	---M-Z	200	added ('OK')	text/html	date:Mon,%2028%20Dec%202020%2006:36:58%20GMT	https://nephos.cssninja.io/account.html	D:/kuliah/farm-template/nephos.cssninja.io/account.html	(from https://nephos.cssninja.io/home.html)
13:36:59	75064/75064	---M-Z	200	added ('OK')	text/html	date:Mon,%2028%20Dec%202020%2006:36:59%20GMT	https://nephos.cssninja.io/cart-empty.html	D:/kuliah/farm-template/nephos.cssninja.io/cart-empty.html	(from https://nephos.cssninja.io/home.html)
13:37:00	66923/66923	---M-Z	200	added ('OK')	text/html	date:Mon,%2028%20Dec%202020%2006:36:59%20GMT	https://nephos.cssninja.io/	D:/kuliah/farm-template/nephos.cssninja.io/index.html	(from https://nephos.cssninja.io/home.html)
13:37:00	196/196	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2028%20Dec%202020%2006:36:59%20GMT	https://nephos.cssninja.io/wishlists.html	D:/kuliah/farm-template/nephos.cssninja.io/wishlists.html	(from https://nephos.cssninja.io/home.html)
13:37:00	84351/84351	---M-Z	200	added ('OK')	text/html	date:Mon,%2028%20Dec%202020%2006:36:59%20GMT	https://nephos.cssninja.io/orders.html	D:/kuliah/farm-template/nephos.cssninja.io/orders.html	(from https://nephos.cssninja.io/home.html)
